Name,University,Place,Date,Type
Programmation et exploitation du web pour historien,Université Paris 1 Panthéon-Sorbonne,"Paris,
France",1 Sept recurring,Master Programme
Modélisation de données historiques,Université Paris 1 Panthéon-Sorbonne,"Paris,
France",4 Sept recurring,Master Programme
Les écritures numériques de l'histoire,Université Paris 1 Panthéon-Sorbonne,"Paris,
France",1 Jan recurring,Bachelor Programme
BALADRIA Summer School in Digital Humanities,University of Zadar,"Zadar,
Croatia",6 June recurring,Summer School
BALADRIA Summer School in Digital Humanities,Linnéuniversitetet,"Växjö,
Sweden",5 June recurring,Summer School
Puheen analyysin perusteet (Introduction to Speech Analysis),University of Helsinki,"Helsinki,
Finland",1 Oct recurring,Course
Data Clinic (Aineistoklinikka),University of Helsinki,"Helsinki,
Finland",5 Nov recurring,Course
Master Humanités numériques,Université Lyon 2,"Lyon,
France",1 Sept recurring,Master Programme
Digital Humanities,Katholieke Universiteit Leuven,"Leuven,
Belgium",5 Sept recurring,Master Programme
Sunoikisis Digital Classics,Universität Leipzig,"Leipzig,
Germany",1 Feb recurring,Master Programme
Heritage Visualisation,The Glasgow School of Art,"Glasgow,
United Kingdom",1 Sept recurring,Master Programme
VILA/DIGHUMLAB Online Course in Transcription Software,Aalborg University,"Aalborg,
Denmark",5 Nov recurring,Course
VILA/DIGHUMLAB Online Course in Editing Video,Aalborg University,"Aalborg,
Denmark",5 Nov recurring,Course
VILA/DIGHUMLAB Online Course in Collecting Audiovisual Data,Aalborg University,"Aalborg,
Denmark",5 Nov recurring,Course
VILA/DIGHUMLAB Online Course in Basic Transcription,Aalborg University,"Aalborg,
Denmark",5 Dec recurring,Course
Introduction in Bioarcheology,Universität Wien,"Vienna,
Austria",1 Oct recurring,Course
VILA/DIGHUMLAB Online Course in Transana,Aalborg University,"Aalborg,
Denmark",1 Feb recurring,Course
VILA/DIGHUMLAB Online Course in ELAN,Aalborg University,"Aalborg,
Denmark",1 Feb recurring,Course
VILA/DIGHUMLAB Online Course in 360° Camera: Use and Data,Aalborg University,"Aalborg,
Denmark",5 Feb recurring,Course
IT and Cognition,Copenhagen University,"Copenhagen,
Denmark",,Master Programme
Geomatic Engineering for Cultural Heritage,Università di Bologna,"Bologna,
Italy",3 Sept recurring,Master Programme
Analyzing Text Corpora,University of Tartu,"Tartu,
Estonia",4 Feb recurring,Master Programme
Digital Photography,University of Tartu,"Tartu,
Estonia",5 Sept recurring,Bachelor Programme
Basics of Digital Painting,University of Tartu,"Tartu,
Estonia",4 Feb recurring,Bachelor Programme
Computer Graphics and 3D Graphics,University of Tartu,"Tartu,
Estonia",5 Sept recurring,Bachelor Programme
