AA.DAfN,AW,DOI,F.FN
"Texas A&M University;; Texas A&M University","","10.1145/3343196","procedural modeling;; procedural approach;; multimedia;; empire;; computer science"
"Katholieke Universiteit Leuven;; Katholieke Universiteit Leuven;; Assiut University;; Royal Museums of Art and History;; Ghent University;; Katholieke Universiteit Leuven","","10.1145/3350427","visual arts;; situated;; multimedia;; computer science;; collaborative learning"
"The University of Nottingham Ningbo China;; The University of Nottingham Ningbo China;; The University of Nottingham Ningbo China;; The University of Nottingham Ningbo China","","10.1145/3352933","visual arts;; multimedia;; cultural heritage;; computer science"
"Lucerne University of Applied Sciences and Arts;; Technische Universität Darmstadt;; Technische Universität Darmstadt","","10.1145/3350428","scattering;; daylight;; data driven;; computer vision;; computer science;; computer graphics images;; artificial intelligence"
"University of Brighton;; University of Brighton;; University College London","","10.1145/3351343","multimedia;; cultural heritage;; computer science"
"Hong Kong University of Science and Technology;; Hong Kong University of Science and Technology","","10.1145/3352590","multimedia;; immersion;; computer science;; classical chinese poetry"
"University of the Aegean;; University of the Aegean","","10.1145/3354002","multimedia;; cultural heritage;; computer science"
