AA.DAfN,AW,DOI,F.FN
""Athena": Research & Innovation Center;; "Athena": Research & Innovation Center;; "Athena": Research & Innovation Center;; "Athena": Research & Innovation Center","key;; issue;; cultural;; assets;; theiroften;; fragmentary;; condition;; causes;; serious;; problems;; questions;; regarding;; theirstudy;; presentation;; pottery;; fragments;; numerous;; every;; excavation;; furthermore;; plays;; essential;; role;; reconstruction;; past;; providesinformation;; aspects;; life;; private;; public;; religion;; death;; economy;; society;; trade;; etc;; thorough;; contribute;; better;; knowledge;; focus;; work;; visualisation;; ancient;; greek;; drinking;; vase;; kantharos;; unearthed;; excavations;; settlement;; karabournaki;; therme;; area;; thessaloniki;; greece;; dates;; archaic;; period;; 7th;; 6thc;; b;; c;; found;; architectural;; remains;; great;; archaeological;; significance;; peculiarities;; terms;; shape;; decoration;; function;; digital;; completion;; 3d;; willcontribute;; betterstudy;; scholarly;; publication;; general;; contribution;; field;; studies;; discuss;; digitisation;; kantharosfragments;; werebased;; onstructure;; motion;; multiple;; view;; stereovision;; sfm;; mvs;; custom;; automated;; data;; collection;; system;; detailed;; description;; pipeline;; details;; quality;; replicas;; sherds;; presentour;; manual;; virtual;; reassembly;; pipelineof;; kantharosby;; describing;; challenges;; issues;; ambiguities;; discovered;; analysing;; geometrical;; features;; sherd;; number;; photorealistic;; visualisations;; artefact;; presented;; order;; question;; applicability;; solution;; actual","10.4995/var.2016.5910","virtual archaeology;; sherd;; pottery;; humanities;; history;; archaic period;; anthropology;; ancient greek"
"National University of Distance Education;; National University of Distance Education","con;; firme;; convencimiento;; que;; arqueologia;; actual;; necesita;; servirse;; todas;; herramientas;; le;; proporciona;; informatica;; hemos;; desarrollado;; proyecto;; digitalizacion;; y;; estructuracion;; todos;; datos;; recogidos;; diferentes;; campanas;; excavacion;; llevadas;; cabo;; castro;; san;; chuis;; allande;; asturias;; espana;; para;; ello;; infraestructura;; espaciales;; ide;; posteriormente;; proceder;; virtualizacion;; mismo;; implementar;; reintegrado;; registro;; arqueologico;; sus;; coordenadas;; originales;; acuerdo;; poseiamos;; esta;; restitucion;; nos;; ha;; permitido;; realizar;; analisis;; espacial;; elementos;; elaborar;; distintos;; planos;; su;; distribucion;; tanto;; por;; como;; tipos;; efectuar;; al;; tiempo;; estudio;; densidades;; asimismo;; base;; general;; ademas;; incluirse;; tabla;; pormenorizada;; incluye;; descriptiva;; unidades;; estratigraficas;; ue;; murarias;; uem;; finalmente;; construido;; extensa;; planimetria;; pagina;; web;; fin;; divulgar;; informacion;; cuanto;; dos;; modelos;; congruentes;; etapas;; historicas;; edad;; hierro;; ocupacion;; romana;; utilizado;; blender;; desarrollo","10.4995/var.2016.5866","virtual reconstruction;; humanities;; hillfort;; art"
"Institute for Mediterranean Studies, Foundation for Research and Technologies Hellas","diffusion;; virtual;; archaeology;; projects;; field;; cultural;; heritage;; attempt;; virtually;; reconstruct;; historical;; buildings;; different;; types;; unfortunately;; 3d;; reconstructions;; still;; principal;; aim;; impress;; external;; users;; correct;; interpretation;; modeled;; more;; important;; domain;; archaeological;; research;; critical;; situation;; encounter;; reconstruction;; monument;; visible;; anymore;; consists;; few;; architectural;; remains;; main;; purpose;; paper;; introduce;; innovative;; methodology;; verify;; hypothetical;; scenarios;; specifically;; ancient;; theatres;; time;; visibility;; applied;; context;; arcgis;; developed;; social;; urban;; studies;; contexts;; additional;; instrument;; correctly;; elements;; large;; roman;; theatre;; gortyn;; crete;; indicate;; level;; stage;; consequently;; presumed;; actors;; representative;; sectors;; cavea;; crucial;; importance;; leading;; right;; model","10.4995/var.2016.5922","visibility;; virtual archaeology;; humanities;; history;; cultural heritage;; architectural engineering;; archaeological research"
"University of Warwick;; Katholieke Universiteit Leuven;; National Technical University of Athens;; Katholieke Universiteit Leuven;; National Technical University of Athens;; University of Warwick","ability;; high;; dynamic;; range;; hdr;; imaging;; capture;; full;; lighting;; scene;; meant;; increasingly;; cultural;; heritage;; ch;; applications;; photogrammetric;; techniques;; allow;; semi;; automatic;; production;; 3d;; models;; sequence;; images;; current;; methods;; always;; effective;; reconstructing;; harsh;; conditions;; significant;; geometric;; details;; may;; captured;; accurately;; over;; exposed;; regions;; image;; offers;; possibility;; overcome;; limitation;; tone;; mapped;; existing;; algorithms;; paper;; evaluate;; four;; different;; mapping;; operators;; tmos;; convert;; raw;; format;; suitable;; state;; art;; keypoint;; detection;; evaluation;; criteria;; number;; keypoints;; valid;; matches;; achieved;; repeatability;; rate;; comparison;; considers;; two;; local;; global;; data;; sites;; kaisariani;; monastery;; greece;; asinou;; church;; cyprus;; ch̢teau;; baux;; france;; buonconsiglio;; castle;; italy","10.4995/var.2016.6319","tone mapping;; photogrammetry;; operator;; high dynamic range imaging;; high dynamic range;; cultural heritage;; computer science;; computer graphics images"
"Polytechnic University of Turin;; Polytechnic University of Turin;; "Immagine e Territorio";; PworxLAB","reconstructive;; urban;; arrangement;; susa;; 4th;; century;; arose;; intention;; exploit;; resources;; derived;; local;; studies;; survey;; activities;; fulfilled;; innovative;; methods;; modelling;; architectural;; heritage;; ah;; virtual;; reconstructions;; digital;; segusio;; presented;; paper;; intensive;; discussion;; exchange;; data;; information;; landscape;; documentation;; technology;; model;; generation;; recreate;; charm;; ancient;; land;; accomplished;; aerial;; terrestrial;; acquisition;; systems;; mainly;; photogrammetry;; uav;; unmanned;; vehicle;; laser;; scanning;; both;; integrated;; medium;; scale;; geographical;; regional;; map;; repository;; processing;; visualization;; supported;; gis;; system;; achieved;; subsequently;; help;; accurate;; detailed;; dem;; elevation;; models;; modelled;; integration;; history;; city;; multimedia;; offered;; public;; museum;; housed;; restored;; castle;; maria;; adelaide;; savoy;; dynasty;; 11th;; stands;; place;; acropolis;; lay;; times","10.4995/var.2016.5874","visualization;; information system;; humanities;; geography;; exploit;; documentation;; digital elevation model;; cultural landscape;; architectural engineering;; architect s scale;; acropolis"
"Polytechnic University of Valencia;; Polytechnic University of Valencia","whatever;; project;; conservation;; cultural;; heritage;; dissemination;; stage;; tree;; dimensional;; 3d;; information;; must;; key;; part;; whole;; process;; existing;; web;; platforms;; webgl;; technology;; disseminate;; content;; navigators;; despite;; normally;; generic;; low;; level;; viewers;; customization;; alternatively;; users;; make;; several;; libraries;; open;; source;; allow;; complete;; adaptation;; specific;; features;; even;; though;; enough;; programming;; skills;; necessary;; paper;; describe;; minimum;; requirements;; contain;; implementation;; three;; js;; one;; versatile;; visualization;; addition;; show;; examples;; integration;; take;; advantage;; html5;; hypertext;; markup;; language;; version;; 5;; enhance;; user;; experience;; platform","10.4995/var.2016.5834","world wide web;; visualization;; personalization;; multimedia;; html5;; html;; dissemination;; cultural heritage;; computer science"
"University of Bologna;; University of Bologna;; University of Bologna","digital;; reconstruction;; recently;; discovered;; tuscanic;; temple;; uni;; marzabotto;; gave;; chance;; test;; application;; building;; information;; modeling;; bim;; process;; combined;; fields;; archaeology;; engineering;; addition;; traditional;; historic;; archaeological;; methodology;; experimental;; proved;; original;; innovative;; examination;; buried;; taking;; advantage;; technologies;; focused;; architectural;; reliability;; validated;; inferred;; models;; peculiar;; aspect;; research;; involves;; elements;; beginning;; consist;; foundations;; negative;; evidences;; supported;; clues;; rules;; found;; scientific;; literature;; better;; define;; distinctive;; working;; expression;; archaeobim;; highlights;; common;; matrix;; data;; management;; one;; more;; analytical;; applied;; aspects;; discipline","10.4995/var.2016.5846","scientific literature;; humanities;; experimental archaeology;; engineering;; digital reconstruction;; data management;; construction engineering;; building information modeling;; archaeological record"
"Aristotle University;; Aristotle University","building;; information;; modelling;; bim;; software;; enables;; users;; communicate;; design;; understand;; appearance;; performance;; cost;; spatial;; urban;; process;; another;; important;; technology;; documentation;; 3d;; reconstruction;; cultural;; heritage;; monuments;; appropriate;; equips;; tools;; easily;; capture;; analyse;; concepts;; maintain;; coordination;; data;; developments;; come;; field;; industry;; construction;; restoration;; management;; models;; mainly;; commercial;; free;; open;; source;; nevertheless;; recently;; growing;; popularity;; altered;; landscape;; attract;; paper;; review;; research;; topic;; focusing;; oss;; stages;; digital;; show;; more;; preference;; fact;; yet;; complete;; covers;; lately;; edificius;; architectural;; vision;; foundation;; classes;; ifc;; model;; viewer;; try","10.4995/var.2016.5864","world wide web;; urban design;; software;; popularity;; industry foundation classes;; documentation;; cultural heritage;; computer science;; commercial software;; building information modeling;; architectural engineering"
"Mainz University of Applied Sciences;; Mainz University of Applied Sciences;; Mainz University of Applied Sciences","spatial;; spectral;; recording;; cultural;; heritage;; objects;; complex;; task;; data;; acquisition;; processing;; involving;; different;; technical;; disciplines;; additionally;; development;; suitable;; digitisation;; strategy;; satisfying;; expectations;; humanities;; experts;; needs;; interdisciplinary;; dialogue;; suffering;; misunderstanding;; knowledge;; gaps;; both;; sides;; concerted;; discussion;; domains;; currently;; develop;; so;; called;; cosch;; kr;; platform;; colour;; space;; representation;; give;; recommendations;; strategies;; adapted;; application;; make;; ontology;; relevant;; parameters;; involved;; dissemination;; hierarchically;; structured;; rule;; dependencies;; background;; basis;; fact;; deterministic;; relation;; exists;; 1;; requirements;; visual;; digital;; information;; object;; itself;; concrete;; physical;; characteristics;; 2;; possibilities;; devices;; case;; deals;; deformation;; wooden;; samples;; artefacts;; relationship;; illustrated;; explaining;; overall;; structure;; aim;; support;; finding;; best;; unique;; research;; question;; aware;; limitations;; respect;; external;; influences","10.4995/var.2016.5861","research question;; ontology;; multimedia;; knowledge representation and reasoning;; documentation;; data science;; data processing;; data acquisition;; cultural heritage;; computer science"
"University of Bologna;; University of Bologna;; Archaeological Museum of Bologna;; Archaeological Museum of Bologna","ancient;; rome;; damnatio;; memoriae;; practice;; erasing;; memory;; condemned;; persons;; historical;; records;; death;; usually;; addressed;; senate;; roman;; elites;; emperors;; declared;; enemies;; state;; order;; preserve;; honour;; condemnation;; included;; practices;; example;; erasure;; names;; sculpted;; inscriptions;; destruction;; reworking;; statues;; image;; person;; emperor;; nero;; immediately;; his;; wide;; iconographic;; repertoire;; him;; destroyed;; deeply;; damaged;; lack;; information;; actually;; thanks;; possibilities;; virtual;; restoration;; reconstruction;; offered;; 3d;; digital;; technologies;; aim;; paper;; show;; possibility;; acquire;; reality;; data;; archaeological;; finds;; allows;; build;; models;; analysed;; managed;; environment;; relocated;; assembled;; restored;; graphically;; support;; archaeologists;; interpretations;; reconstructions;; shows;; methodology;; developed;; statue;; starting;; digitization;; torso;; found;; 500;; years;; ago;; theatre;; bologna;; italy;; bononia","10.4995/var.2016.5871","virtual reconstruction;; virtual machine;; virtual archaeology;; statue;; honour;; history;; emperor;; digitization;; archaeology;; ancient rome"
