AA.DAfN,AW,DOI,F.FN
"UKOLN","digccurr;; digital;; curation;; curriculum;; 2007;; symposium;; held;; university;; north;; carolina;; chapel;; hill;; april;; 18;; 20;; event;; organised;; part;; project;; preserving;; access;; future;; building;; international;; funded;; institute;; museum;; library;; services;; imls","10.2218/ijdc.v2i1.17","library services;; library science;; knowledge management;; digital curation;; curriculum;; computer science;; chapel"
"","description;; fundamental;; concepts;; caspar;; metrics;; believes;; projects;; claim;; aid;; practice;; digital;; preservation;; judged","10.2218/ijdc.v2i1.18","multimedia;; digital preservation;; computer science"
"","overview;; digital;; curation;; centre;; establishment;; 2004;; accomplishments;; phase;; one;; aims;; objectives;; two;; dcc;; relates;; jisc;; strategy","10.2218/ijdc.v2i1.19","world wide web;; digital curation;; computer science"
";; ","article;; describes;; approach;; taken;; norc;; nist;; provide;; remote;; researcher;; access;; confidential;; business;; micro;; data;; combined;; technical;; legal;; organizational;; approaches;; protect;; respondent;; instituted;; number;; encourage;; researchers;; metadata;; documentation","10.2218/ijdc.v2i1.20","world wide web;; respondent;; nist;; microdata;; metadata;; documentation;; dissemination;; data mining;; confidentiality;; computer science"
"","project;; store;; conceived;; initiative;; apply;; digital;; library;; technologies;; creation;; value;; published;; research;; ostensibly;; technical;; primary;; objective;; design;; middleware;; enable;; bi;; directional;; links;; source;; repositories;; containing;; data;; output;; publications;; hence;; researchers;; able;; navigate;; directly;; electronic;; article;; synthesised;; derived;; achieve;; product;; reflects;; user;; needs;; survey;; conducted;; across;; seven;; scientific;; disciplines;; exposed;; spectrum;; cultural;; pressures;; preferences;; prejudices;; influence;; process;; range;; practices;; production;; management;; aspects;; environment;; revealed;; paper;; context;; repository;; more;; broadly;; requirements;; roles;; responsibilities;; necessary;; good","10.2218/ijdc.v2i1.21","research environment;; prejudice;; middleware;; knowledge management;; electronic article;; digital preservation;; digital library;; digital curation;; data mining;; data management;; computer science"
"","article;; background;; digital;; curation;; centre;; concentrates;; brief;; overview;; aims;; 3rd;; international;; conference;; held;; washington;; d;; c;; december;; together;; information;; array;; prominent;; speakers","10.2218/ijdc.v2i1.22","world wide web;; digital curation;; data science;; computer science"
";; ","super;; user;; priorities;; infrastructure;; research;; six;; month;; effort;; funded;; uk;; science;; core;; programme;; jisc;; aim;; inform;; investment;; order;; provide;; usable;; useful;; accessible;; researchers;; coherent;; set;; services;; increase;; usage;; least;; factor;; ten;; 2010;; series;; unstructured;; face;; interviews;; over;; 45;; participants;; 30;; different;; projects;; online;; survey;; together;; day;; long;; workshop;; nesc;; observed;; recurring;; issues;; relating;; provision;; article;; focus;; data;; identified;; interactions;; conclude;; prioritised;; list;; future;; activities;; development;; adoption;; space","10.2218/ijdc.v2i1.23","nesc;; usable;; knowledge management;; data space;; data mining;; computer science"
"","digital;; technologies;; research;; led;; proliferation;; data;; forms;; output;; modes;; presentation;; scientific;; communities;; struggling;; challenge;; manage;; terabytes;; producing;; increasing;; pressure;; funding;; organizations;; publish;; raw;; addition;; traditional;; publications;; open;; archives;; paper;; describe;; approach;; involves;; selective;; encapsulation;; derived;; products;; algorithms;; software;; textual;; publication;; packages;; provide;; ideal;; encapsulating;; expert;; knowledge;; publishing;; sharing;; process;; teaching;; complex;; concepts;; archival;; curation;; preservation;; bridge;; technological;; advances;; libraries;; escience;; domains;; rdf;; architecture;; adopting;; enable;; scientists;; construct;; compound;; objects;; encapsulate;; relate;; contextual;; provenance;; administrative;; metadata","10.2218/ijdc.v1i1.4","e science;; world wide web;; terabyte;; scientific method;; raw data;; rdf;; publication;; metadata;; digital library;; data science;; data mining;; computer science"
"UKOLN;; ","invitational;; workshop;; held;; washington;; d;; c;; 7;; 9;; may;; 2006;; organised;; joint;; information;; systems;; committee;; us;; national;; infrastructure;; preservation;; program","10.2218/ijdc.v1i1.6","national information infrastructure;; library science;; knowledge management;; information system;; digital preservation;; computer science"
"","creation;; management;; digital;; materials;; increasing;; importance;; wide;; range;; activities;; knowledge;; base;; intellectual;; assets;; institutions;; individuals;; now;; form;; term;; curation;; increasingly;; actions;; needed;; add;; value;; maintain;; over;; time;; current;; future;; generations;; users;; paper;; explores;; emerging;; field;; area;; inter;; disciplinary;; research;; practice;; trends;; influencing;; development;; analyses;; genesis;; traditional;; roles;; relating;; transition;; finally;; drivers;; ranging;; exponential;; growth;; information;; life;; caching;; preservation;; grid;; opportunities;; publishing;; sharing;; re;; data;; concludes;; significant;; effort;; needs;; put;; developing;; persistent;; infrastructure;; skills;; researchers;; professionals;; without;; investment;; digitisation;; content;; secure;; short;; rather;; lasting;; benefits","10.2218/ijdc.v1i1.2","knowledge management;; information infrastructure;; digital transformation;; digital preservation;; digital library;; digital curation;; digital content;; digital asset management;; data science;; data mining;; data curation;; computer science"
"","overview;; hopes;; offered;; digitisation;; turned;; problem;; explosion;; formats;; technologies;; began;; render;; material;; inaccessible;; way;; chairman;; sees;; task;; force;; movng;; address;; challenge;; preserving;; accessing;; record;; science;; long;; term","10.2218/ijdc.v1i1.8","task force;; strategic approach;; pledge;; emerging technologies;; digital records;; data mining;; computer science"
"UKOLN;; UKOLN;; Department of Mechanical Engineering;; ;; ;; Department of Mechanical Engineering","immortal;; information;; life;; knowledge;; management;; strategies;; tools;; emerging;; product;; service;; business;; paradigm;; grand;; challenge;; project;; involving;; eleven;; different;; uk;; universities;; incorporating;; substantial;; industry;; collaboration;; investigating;; range;; issues;; move;; towards;; engineering;; sector;; long;; term;; curation;; digital;; data;; learning;; production;; appropriate;; governance;; techniques","10.2218/ijdc.v1i1.5","personal knowledge management;; knowledge management;; information management;; digital data;; digital curation;; data mining;; corporate governance;; computer science"
"","digital;; curation;; centre;; workshop;; held;; newcastle;; upon;; tyne;; april;; 2006;; explore;; practical;; approaches;; managing;; preserving;; re;; mail;; records","10.2218/ijdc.v1i1.7","world wide web;; digital curation;; data mining;; computer science"
"Screen Research @ Bristol","defining;; characteristic;; contemporary;; copyright;; law;; willingness;; governments;; accept;; argument;; impact;; digital;; technologies;; requires;; owners;; ever;; greater;; control;; over;; works;; regardless;; detriment;; regime;; public;; interest;; elements;; yet;; one;; size;; fits;; rights;; reserved;; clearly;; fails;; meet;; requirements;; rightsholders;; response;; creative;; commons;; movement;; seeks;; licences;; existing;; laws;; provide;; simple;; mechanism;; disseminate;; less;; restrictive;; conditions;; initial;; success;; led;; suggestions;; principles;; equally;; applied;; scientific;; research;; outputs;; publications;; licensing;; materials;; datasets;; article;; argues;; science;; approach;; if;; model;; premised;; root;; utilitarian;; both;; fail;; address;; policy;; drivers;; researchers;; type;; actually;; want;; suggests;; constructing;; appropriate;; set;; particularly;; require;; step;; outside;; look;; continental;; tradition;; sets;; store;; economic;; gives;; weight;; moral","10.2218/ijdc.v1i1.3","scientific method;; public interest;; public domain;; moral rights;; dissemination;; digital curation;; data mining;; copyright law;; computer science;; commons"
"","explores;; researchers;; major;; midwestern;; university;; managing;; data;; factors;; shaped;; practices;; motivate;; inhibit;; changes;; practice;; combination;; survey;; n;; 363;; interview;; 15;; yielded;; both;; qualitative;; quantitative;; bearing;; my;; central;; research;; question;; types;; management;; activities;; institution;; engage;; corollary;; explored;; following;; questions;; feel;; services;; might;; interest;; effectively;; implemented;; paper;; situate;; theory;; personal;; information;; view;; preservation;; needs;; perspectives;; across;; range;; domains;; additionally;; discuss;; implications;; understanding;; introducing;; support","10.2218/ijdc.v6i2.190","research question;; personal knowledge management;; personal information management;; knowledge management;; group information management;; data type;; data mining;; data management;; computer science"
