AA.DAfN,AW,DOI,F.FN
"Histoire, Archéologie et Littératures des mondes chrétiens et musulmans médiévaux;; Zentrum für Digitale Edition - Université de Würzburg (Allemagne)","article;; detailed;; current;; state;; needs;; desires;; members;; tei;; community;; working;; manuscript;; material;; survey;; carried;; authors;; insights;; practices;; problems;; limitations;; utilizing;; encoding;; existence;; steep;; learning;; curve;; practitioners;; self;; taught;; doing;; dominates;; exists;; long;; gap;; first;; encounter;; actual;; projects;; highlight;; user;; friendly;; bespoke;; tools;; facilitating;; processing;; publishing;; encoded;; texts;; feedback;; guidelines;; themselves;; reveals;; aspects;; fully;; meet;; better;; address;; strengthening;; special;; interest;; groups","10.4000/jtei.372","special interest group;; publishing;; medicine;; library science;; learning curve;; encoding;; data science;; bespoke"
";; ","incumbent;; upon;; libraries;; holding;; arabic;; manuscripts;; provide;; access;; digitized;; surrogates;; holdings;; users;; require;; both;; authority;; list;; content;; exhaustive;; cataloguing;; essential;; tei;; p5;; manuscript;; description;; module;; suitable;; tool;; lacks;; certain;; features;; allow;; ancient;; article;; make;; several;; suggestions;; augment;; allowing;; richer;; more;; accurate;; cataloging","10.4000/jtei.398","visual arts;; library science;; digitization;; cataloging;; art;; arabic"
";; ","teuchos;; group;; university;; hamburg;; developed;; software;; package;; integrates;; graphical;; user;; interface;; gui;; modules;; automatic;; annotation;; manuscripts;; main;; advantage;; system;; works;; entirely;; plain;; text;; needing;; learn;; markup;; saving;; tei;; p5;; once;; manuscript;; description;; complete;; paper;; includes;; module;; generating;; conformant;; descriptions;; several;; deep;; transcription;; phrase;; level","10.4000/jtei.392","world wide web;; software;; plain text;; phrase;; markup language;; graphical user interface;; computer science;; codicology;; annotation"
";; ;; ","early;; 2010;; austrian;; academy;; sciences;; icltt;; instituted;; experiment;; selective;; metadata;; creation;; medium;; sized;; collection;; 100;; million;; tokens;; digitised;; periodicals;; project;; two;; main;; objectives;; assigning;; basic;; structures;; previously;; texts;; so;; called;; divisions;; tei;; nomenclature;; creating;; set;; digital;; objects;; b;; subsequent;; categorisation;; purpose;; able;; create;; thematically;; organised;; sub;; corpora;; additional;; objective;; stored;; headers;; attempts;; streamlining;; legion;; library;; community;; tools;; job;; incorporated;; workflow;; engines;; consist;; commercial;; products;; docworks;; c;; 3;; free;; goobi;; incorporates;; tool;; rusdml;; archivists;; toolkit;; experimental;; tested;; attempt;; capture;; detailed;; comparatively;; large;; collective;; publications;; yearbooks;; readers;; commemorative;; almanacs;; anthologies;; higher;; level;; corpus;; furnished;; beginning;; digitisation;; process;; current;; designed;; enrich;; data;; more;; fully;; describe;; contents;; material;; hand;; achieve;; end;; department;; standard;; adapted;; added;; benefit;; keeping;; software;; production;; costs;; minimum;; earlier;; experiments;; group;; researchers;; creators;; created;; header;; text;; division;; manually;; trying;; approach;; problem;; exploiting;; section;; issues;; secondary;; sources;; resulted;; tangible;; acceleration;; together;; collecting;; author;; title;; publication;; date;; classifies;; type;; topics;; latter;; dewey;; decimal;; classification;; version;; 22;; german;; supplementary;; keywords;; paper;; discusses;; number;; concerning;; quality;; resulting;; touches;; upon;; issue;; automation;; points;; human;; intervention;; indispensible;; attention;; directed;; module","10.4000/jtei.416","world wide web;; workflow engine;; workflow;; metadata repository;; metadata;; information retrieval;; header;; german;; dewey decimal classification;; computer science;; automation"
"","croatiae;; auctores;; latini;; croala;; text;; collection;; first;; published;; 2009;; makes;; freely;; accessible;; latin;; texts;; written;; people;; croatian;; origin;; middle;; ages;; twentieth;; century;; intended;; primarily;; scholars;; neo;; literature;; language;; history;; culture;; encoded;; tei;; xml;; searchable;; readable;; online;; philologic;; edition;; become;; starting;; point;; useful;; tool;; serious;; research;; both;; traditional;; digital;; done;; besides;; adding;; more;; stimulate;; article;; describes;; editors;; solutions;; following;; six;; areas;; fine;; tuning;; metadata;; user;; interface;; enable;; grouping;; author;; period;; genre;; theme;; providing;; tools;; users;; supplemental;; material;; links;; citations;; easier;; hyperlinks;; digitizing;; access;; finding;; aids;; effective;; search;; retrieval;; disseminating;; outside;; repositories;; enhancements;; realized;; encoding;; xslt;; stylesheets;; configuring;; simple;; implement;; reach;; advanced;; programmer;; computer;; documentation;; serves;; twofold;; pedagogical;; purpose;; help;; newcomers;; find;; way;; around;; immense;; potential;; enabled;; scheme;; second;; encourage;; humanities;; makers;; least;; adapters;; simply;; put;; if;; you;; too","10.4000/jtei.425","xslt;; xml;; world wide web;; user interface;; multimedia;; metadata;; interoperability;; hyperlink;; documentation;; computer science;; citation"
";; ","standard;; workflow;; preparing;; digital;; editions;; display;; involves;; writing;; xsl;; transform;; handcrafted;; tei;; 1;; html;; web;; 2;; fo;; conversion;; print;; friendly;; format;; pdf;; implicitly;; recognize;; even;; coupled;; css;; designed;; presentation;; technology;; born;; documents;; encoded;; formats;; hypothetical;; future;; likely;; supplemented;; document;; description;; goes;; beyond;; facilities;; meet;; needs;; editors;; foresee;; same;; way;; currently;; supplements;; describes;; manuscripts;; printed;; books;; paper;; investigate;; ways;; xhtml;; both;; without;; rdfa;; transformed;; backward;; addition;; edition;; case;; process;; converting;; content;; language;; corpora","10.4000/jtei.407","xslt;; xsl;; xhtml;; world wide web;; workflow;; rdf;; information retrieval;; html element;; digital edition;; corpus linguistics;; computer science"
";; ;; ","paper;; newly;; developed;; framework;; online;; publishing;; scholarly;; text;; editions;; tei;; guidelines;; core;; support;; delivery;; encoded;; documents;; drupal;; popular;; fairly;; powerful;; modular;; content;; management;; system;; cms;; article;; teichi;; suite;; modules;; prototype;; implementation;; consists;; collection;; displaying;; files;; via;; xslt;; css;; interacting;; javascript;; uploading;; searching;; downloading;; showcase;; strengths;; compare;; tool;; currently;; systems;; focus;; tools;; suitable;; textual;; scholars;; digital;; humanities;; encoding;; mechanisms;; relatively;; little;; technical;; expertise;; specifically;; versioning;; machine;; vm;; scalable;; architecture;; sade;; look;; four;; perspectives;; user;; edition;; archive;; editor;; texts;; administrator;; setting;; programmer;; possibly;; modifying;; enhancing;; more;; general;; aim;; investigate;; perspective;; development;; area;; called;; paradox;; evidence;; number;; existing;; widely;; adopted;; address;; two;; aims;; seem;; mutually;; exclusive;; keeping;; simple;; going;; generic;; fact;; developers;; find;; ways;; turning;; conflicting;; concurrent;; if;; want;; build;; successful;; broaden;; base","10.4000/jtei.432","xslt;; world wide web;; use case;; upload;; software versioning;; programmer;; javascript;; electronic publishing;; digital edition;; data science;; computer science"
"","one;; smallest;; issues;; journal;; text;; encoding;; initiative;; size;; belies;; importance;; first;; issue;; open;; call;; papers;; now;; selected;; tei;; conference;; 1;; 2;; 4;; 6;; theme;; 3;; linguistics;; 5;; infrastructures;; elicited;; articles;; touch;; upon;; contemporary;; meta;; concerns;; community;; evaluating;; teach","10.4000/jtei.1046","library science;; encoding;; computer science"
"","article;; brief;; overview;; currently;; digital;; resources;; learning;; understand;; tei;; guidelines;; reflects;; analyzes;; audience;; survey;; intended;; inform;; future;; support;; consortium;; novice;; users;; increasing;; numbers;; students;; look;; online;; self;; directed;; task;; tutorials;; scholars;; humanities;; recognize;; standard;; tool;; publication;; context;; author;; designed;; presented;; paper;; solicit;; qualitative;; feedback;; both;; experienced;; aspiring;; practitioners;; field;; concerning;; skills;; needs;; goals;; pedagogical;; technical;; suggests;; revising;; expanding;; community;; proposing;; possibilities;; form;; functionality","10.4000/jtei.968","qualitative feedback;; knowledge management;; engineering ethics;; digital resources;; computer science"
";; ","part;; larger;; pilot;; evaluation;; digital;; scholarship;; consider;; role;; if;; tei;; consortium;; user;; community;; might;; play;; evaluating;; utilize;; tag;; set;; rationale;; focusing;; discussion;; twofold;; first;; guidelines;; represents;; encoding;; standard;; texts;; supported;; large;; actively;; interested;; application;; development;; standards;; second;; feedback;; concerning;; criteria;; explicitly;; gathered;; may;; provide;; additional;; understanding;; value;; process;; assessment;; text;; determining;; evaluate;; so;; reveals;; definitions;; general;; clarification;; articulation;; remains;; high;; priority;; continues;; develop","10.4000/jtei.949","scholarship;; knowledge management;; engineering;; encoding;; digital scholarship"
