AA.DAfN,AW,DOI,F.FN
"Siberian Federal University;; Siberian Federal University;; Siberian Federal University;; Siberian Federal University;; Siberian Federal University;; Siberian Federal University","paper;; explores;; digital;; scholarship;; siberian;; federal;; university;; considers;; incentives;; scholars;; data;; research;; build;; own;; databases;; editions;; develop;; questions;; methods;; tools;; first;; stage;; providing;; content;; seems;; mastered;; skill;; researchers;; second;; working;; humanities;; seem;; comfort;; zone;; conclude;; random;; initiatives;; guarantee;; demand;; knowledge;; understanding;; inspired;; methodologies;; studies;; might;; needed;; understand;; if;; require;; lobbying;; so;; kind;; promotion;; dissemination;; training;; effective","10.16995/dscn.37","political science;; library science;; incentive;; digitization;; digital scholarship;; digital humanities;; digital data;; digital content"
"University of Victoria#R##N#Electronic Textual Cultures Lab;; University of Toronto;; York University;; University of Toronto;; Royal Ontario Museum;; University of Victoria","humanities;; undergoing;; profound;; shifts;; nature;; processes;; produce;; scholarly;; work;; migration;; digital;; practices;; increasingly;; accepted;; universities;; public;; institutions;; bodies;; realised;; must;; develop;; consistent;; policies;; governing;; practice;; implementation;; evaluation;; scholarship;; formal;; debate;; relation;; faculty;; administration;; underway;; similar;; discussions;; perspective;; graduate;; students;; working;; large;; scale;; collaborative;; projects;; until;; now;; limited;; passing;; conversations;; conferences;; intradepartmental;; gestures;; occasional;; online;; occurring;; venues;; frequented;; early;; career;; practitioners;; contribution;; revisits;; rehearses;; textual;; form;; issues;; raised;; roundtable;; 2012;; conference;; canadian;; society;; devoted;; exploring;; role;; forming;; environment;; humanites;; connaissent;; actuellement;; changements;; profonds;; dans;; processus;; utilises;; pour;; produire;; travaux;; d;; erudition;; cette;; vers;; pratiques;; numeriques;; etant;; plus;; acceptee;; universites;; publiques;; ces;; etablissements;; sont;; rendus;; compte;; qu;; ils;; doivent;; elaborer;; politiques;; coherentes;; regir;; pratique;; mise;; Å“uvre;; l;; version;; numerique;; le;; debat;; formel;; au;; sujet;; procedes;; ce;; qui;; concerne;; faculte;; est;; deja;; bien;; engage;; similaires;; apres;; etudiants;; diplomes;; travaillent;; projets;; collaboratifs;; grande;; envergure;; ont;; jusqu;; maintenant;; ete;; limitees;; passant;; lors;; gestes;; intradepartementaux;; occasion;; ligne;; tenues;; lieux;; frequentes;; par;; praticiens;; debut;; carriere;; presente;; vise;; revisiter;; repeter;; sous;; forme;; textuelle;; questions;; soulevees;; eu;; lieu;; pendant;; table;; ronde;; societe;; canadienne;; dont;; programme;; consistait;; explorer;; formation;; environnement;; erudit","10.16995/dscn.59","ligne;; humanities;; digital scholarship;; digital humanities;; conversation;; art"
"University of Victoria","scholars;; involved;; digital;; projects;; witnessing;; radical;; transformation;; scholarly;; communication;; knowledge;; representation;; collaborative;; practices;; emphasis;; interdisciplinarity;; sea;; change;; conceive;; undertake;; communicate;; research;; registered;; perceived;; relation;; humanities;; whole;; scope;; rapid;; practice;; larger;; alone;; suggests;; reaching;; across;; social;; sciences;; reconfiguring;; disciplinary;; formations;; revealing;; contact;; zones;; academic;; communities;; policy;; data;; driven;; corporate;; networking;; undertaking;; dynamics;; interdisciplinary;; focus;; breadth;; coverage;; virtual;; offers;; empirical;; procedures;; power;; remain;; unchanged;; emerging;; methods;; established;; institutional;; models;; universitaires;; qui;; participent;; projets;; numeriques;; remarquent;; radicale;; au;; niveau;; du;; savoir;; pratiques;; collaboration;; erudites;; avec;; emphase;; accrue;; sur;; l;; interdisciplinaire;; ce;; changement;; profond;; dans;; facon;; dont;; concoivent;; entreprennent;; communiquent;; leurs;; recherches;; manifeste;; souvent;; entre;; humanites;; leur;; ensemble;; cependant;; le;; champ;; d;; application;; rapide;; interdisciplinarite;; etend;; beaucoup;; plus;; loin;; que;; seules;; rejoignant;; sociales;; reconfigurant;; disciplinaires;; decouvrant;; nouvelles;; recherche;; academique;; collectivites;; impliquees;; elaboration;; politiques;; entreprise;; fondee;; donnees;; reseautage;; entreprenant;; dynamique;; interdisciplinaires;; seulement;; comme;; son;; objectif;; mais;; aussi;; par;; ampleur;; sa;; couverture;; presente;; etude;; empirique;; dynamiques;; pouvoir;; changent;; ou;; restent;; immuables;; lorsque;; methodes;; entrent;; modeles;; institutionnels;; etablis","10.16995/dscn.63","sociology;; social science;; social network;; scholarly communication;; power dynamics;; humanities;; discipline;; digital humanities;; corporate research"
"University of Lethbridge","matthew;; k;; gold;; collection;; brings;; together;; recognisable;; contributors;; field;; digital;; humanities;; introduce;; discuss;; problematise;; whole","10.16995/dscn.64","library science;; history;; digital humanities"
"University of Virginia#R##N#Papers of George Washington","papers;; george;; washington;; financial;; series;; born;; digital;; project;; publish;; records;; total;; several;; thousand;; distinct;; documents;; numerous;; diverse;; complicated;; receipts;; invoices;; day;; books;; double;; entry;; ledgers;; comprise;; thousands;; discrete;; transactions;; record;; depth;; detail;; every;; aspect;; business;; enterprises;; account;; detailing;; activities;; mount;; vernon;; his;; farms;; he;; kept;; away;; war;; presidency;; article;; briefly;; examines;; major;; issues;; faced;; early;; development;; handled;; content;; management;; system;; doctracker;; serie;; financiere;; ecrits;; est;; projet;; sous;; forme;; numerique;; qui;; vise;; publier;; tous;; registres;; financiers;; soit;; au;; plusieurs;; milliers;; distincts;; ces;; sont;; seulement;; nombreux;; ils;; aussi;; tres;; divers;; complexes;; incluant;; recus;; factures;; partie;; comprennent;; chacun;; distinctes;; dans;; chaque;; entreprises;; commerciales;; consigne;; profondeur;; depuis;; livres;; comptables;; detaillant;; ses;; activites;; exploitations;; agricoles;; jusqu;; aux;; qu;; il;; gardait;; alors;; etait;; guerre;; durant;; sa;; presidence;; cet;; examine;; brievement;; certaines;; questions;; majeures;; rencontrees;; stade;; precoce;; developpement;; du;; facon;; dont;; celles;; ci;; ont;; ete;; traitees;; notre;; systeme;; gestion;; contenu","10.16995/dscn.57","presidency;; ledger;; finance;; digital humanities;; content management system;; art;; account books"
"","virtual;; paul;; cross;; project;; funded;; grant;; national;; endowment;; humanities;; helps;; us;; explore;; public;; preaching;; early;; modern;; london;; enabling;; experience;; sermon;; performance;; event;; unfolding;; real;; time;; context;; interactive;; collaborative;; occasion;; uses;; architectural;; modelling;; software;; acoustic;; simulation;; give;; access;; experientially;; past;; john;; donne;; delivered;; tuesday;; november;; 5;; 1622;; tools;; enable;; integrate;; physical;; traces;; pre;; fire;; st;; cathedral;; surviving;; visual;; record;; surroundings;; create;; model;; churchyard;; historically;; informed;; interpretation;; style;; contemporary;; descriptions;; his;; capacity;; engage;; congregations;; imaginatively;; emotionally;; delight;; wit;; able;; assess;; audibility;; without;; amplification;; large;; open;; space;; people;; positioned;; different;; places;; crowd;; presence;; sizes;; congregation;; le;; projet;; virtuel;; croix;; finance;; grÃ¢ce;; subvention;; du;; nous;; aide;; explorer;; predications;; publiques;; debut;; l;; histoire;; moderne;; londres;; permettant;; revivre;; comme;; representation;; evenement;; deroulant;; temps;; reel;; dans;; contexte;; d;; collaboratrice;; ce;; fait;; appel;; logiciel;; modelisation;; acoustique;; pour;; permettre;; acceder;; facon;; experientielle;; particulier;; passe;; soit;; que;; prononce;; mardi;; novembre;; ces;; outils;; permettent;; integrer;; physiques;; cathedrale;; avant;; grand;; incendie;; aux;; vestiges;; preserves;; ses;; environs;; creer;; modele;; visuel;; son;; cimetiere;; ils;; aussi;; historiquement;; documentee;; predication;; apres;; contemporaines;; sur;; sa;; capacite;; toucher;; par;; imagination;; emotions;; enchanter;; esprit;; sommes;; mesure;; evaluer;; audibilite;; sans;; espace;; ouvert;; intention;; personnes;; tenant;; differents;; endroits;; foule;; nombres;; spectateurs","10.16995/dscn.58","sermon;; reel;; performance art;; nous;; national endowment;; espace;; cross project;; art history;; art"
"Univeristy of Saskatchewan","","10.16995/dscn.61","political science;; classics"
"University of Victoria;; University of Southern California","focusing;; specifically;; digital;; content;; duplicated;; across;; web;; without;; attribution;; essay;; argues;; humanities;; practitioners;; currently;; platforms;; help;; 1;; facilitate;; aggregation;; 2;; responsibly;; embed;; share;; 3;; interpret;; flexible;; open;; way;; 4;; identify;; create;; relationships;; 5;; express;; variety;; formats;; genres;; views;; arrangements;; justify;; claims;; authors;; examine;; two;; thoughtmesh;; scalar;; methods;; rhetoric;; interaction;; design;; data;; structuring;; software;; studies;; largely;; intended;; audiences;; interested;; scholarly;; communications;; platform;; development;; appeal;; invested;; linked;; media;; computers;; writing;; concentrant;; specifiquement;; sur;; facon;; dont;; le;; contenu;; numerique;; est;; duplique;; travers;; souvent;; avec;; ou;; sans;; cet;; article;; soutient;; que;; praticiens;; sciences;; humaines;; ont;; actuellement;; besoin;; plates;; formes;; pour;; aider;; faciliter;; l;; agregation;; contenus;; responsable;; integrer;; partager;; ce;; interpreter;; d;; maniere;; ouverte;; identifier;; creer;; relations;; entre;; exprimer;; ces;; variete;; vues;; justifier;; allegations;; auteurs;; examinent;; deux;; utilisant;; methodes;; rhetorique;; structuration;; donnees;; bien;; essai;; largement;; destinee;; public;; interesse;; par;; savantes;; numeriques;; developpement;; plate;; forme;; il;; devrait;; egalement;; faire;; appel;; ceux;; qui;; sont;; investis;; dans;; liees;; ouverts;; etudes;; medias;; ordinateurs;; ecriture","10.16995/dscn.237","scholarly communication;; platform development;; humanities;; document model;; digital rhetoric;; digital content;; computers and writing;; art"
"University of Georgia","article;; discuss;; project;; text;; mining;; corpus;; linguistics;; explore;; patterns;; sentimentality;; mid;; victorian;; novels;; strong;; formulaic;; conventions;; genre;; enable;; me;; investigate;; machine;; classification;; word;; cloud;; visualisations;; reveal;; low;; level;; correspond;; higher;; formations;; specifically;; naive;; bayes;; algorithm;; dunning;; log;; likelihood;; ratio;; monk;; wordhoard;; identify;; instances;; isolate;; words;; salient;; affective;; writing;; think;; issues;; raised;; employing;; computational;; distant;; reading;; inform;; critical;; positions","10.16995/dscn.235","tag cloud;; sentimentality;; salient;; natural language processing;; naive bayes classifier;; corpus linguistics;; computer science;; artificial intelligence"
"","open;; society;; cherished;; liberal;; ideal;; one;; necessarily;; limited;; privacy;; louis;; brandeis;; first;; formulated;; right;; 1890;; response;; advances;; technology;; photography;; growth;; tabloid;; press;; today;; once;; again;; technologies;; threaten;; real;; concerns;; exist;; security;; digital;; data;; especially;; affects;; personal;; identity;; furthermore;; development;; web;; 2;; 0;; social;; media;; allow;; ordinary;; people;; collaborate;; share;; information;; unprecedented;; scale;; positive;; side;; rise;; citizen;; journalism;; calls;; authority;; account;; same;; time;; saturated;; climate;; created;; panoptic;; encouraged;; penchant;; validation;; self;; exposure;; culture;; hypervisibility;; confluence;; generation;; grown;; digitally;; native;; reveals;; paradoxes;; living;; life;; societe;; ouverte;; est;; precieux;; mais;; qui;; necessairement;; limite;; par;; le;; besoin;; du;; respect;; vie;; privee;; lorsque;; formule;; pour;; premiere;; fois;; droit;; c;; etait;; reponse;; aux;; progres;; technologie;; photographie;; croissance;; presse;; populaire;; aujourd;; hui;; encore;; nouvelles;; menacent;; preoccupations;; reelles;; existent;; au;; sujet;; securite;; donnees;; numeriques;; particulier;; lorsqu;; elles;; touchent;; notre;; identite;; personnelle;; plus;; developpement;; poussee;; medias;; sociaux;; permettent;; gens;; ordinaires;; collaborer;; partager;; l;; d;; ampleur;; sans;; precedent;; cote;; positif;; ces;; ont;; donne;; lieu;; journalisme;; citoyens;; exige;; autorites;; qu;; rendent;; comptes;; meme;; occasion;; climat;; sature;; cree;; panoptique;; encourage;; vers;; auto;; exposition;; cette;; hypervisibilite;; confluant;; avec;; numerique;; revele;; devoilee;; grand;; jour","10.16995/dscn.60","the right to privacy;; personal identity;; liberalism;; humanities;; gens;; citizen journalism;; art history;; art"
