AA.DAfN,AW,DOI,F.FN
"Complutense University of Madrid","dialogyca;; bddh;; es;; base;; datos;; especializada;; ademas;; biblioteca;; digital;; aspira;; ofrecer;; manera;; progresiva;; corpus;; todos;; dialogos;; literarios;; hispanicos;; escritos;; distintas;; lenguas;; peninsulares;; desde;; siglo;; xv;; hasta;; nuestros;; dias;; presentan;; elementos;; metodologicos;; fundamentales;; y;; ofrecen;; tres;; ejemplos;; obras;; descritas;; para;; demonstrar;; que;; metodo;; bibliografico;; investigacion;; literaria;; beneficien;; aplicaciones;; informaticas;; mejorar;; presentacion;; informacion;; obtener;; resultados;; novedosos;; colaboracion;; entre;; instituciones;; enriquecimiento;; bases;; permite;; optimizacion;; recursos;; difusion;; informaciones","10.5944/rhd.vol.1.2017.16685","philosophy;; humanities;; hasta"
"University of Nantes;; Goethe University Frankfurt","este;; articulo;; muestra;; algunos;; problemas;; epistemologicos;; derivados;; explotacion;; textos;; recogidos;; proceso;; creacion;; base;; datos;; proyecto;; pocram;; relativa;; cuestion;; conversion;; religiosa;; entre;; antiguedad;; tardia;; y;; fin;; edad;; moderna;; asi;; mismo;; hace;; balance;; evolucion;; humanidades;; numericas;; especialmente;; francia;; como;; proyectos;; precedentes;; que;; inspira;; conceptualizacion;; presentamos;; nuestro;; corpus;; consecuencias;; su;; gracias;; al;; uso;; diferentes;; software;; provocan;; doble;; ruptura;; epistemologica;; conceptual;; forma;; entender;; historia","10.5944/rhd.vol.1.2017.16765","humanities;; digital humanities;; cartography;; art"
"UniversitÃ  del Piemonte Orientale","greek;; latin;; long;; played;; central;; role;; intellectual;; life;; west;; statistics;; indicate;; now;; jeopardy;; paper;; suggests;; interaction;; classics;; digital;; humanities;; might;; help;; reverse;; negative;; trend;; starting;; case;; digiliblt;; library;; late;; antique;; texts;; explain;; process;; behind;; building;; show;; projects;; sort;; create;; feedback;; loop;; revives;; programs;; universities;; generates;; receptions;; media","10.5944/rhd.vol.1.2017.16784","sort;; visual arts;; library science;; late antiquity;; intellectual life;; engineering;; digital media;; digital library;; digital humanities;; antique"
"Universidad Miguel Hernández de Elche;; Universidad Miguel Hernández de Elche","presente;; trabajo;; describe;; proceso;; creacion;; archivo;; digital;; para;; investigadores;; que;; comprende;; base;; datos;; con;; investigacion;; humanidades;; y;; repositorio;; documentos;; asociados;; estos;; este;; vamos;; discutir;; decisiones;; diseno;; debieron;; tomarse;; evitar;; o;; minimizar;; problemas;; experiencia;; hemos;; adquirido;; uno;; aspectos;; mas;; interesantes;; desarrollo;; esta;; aplicacion;; fue;; realimentacion;; cruzada;; entre;; humanistas;; ingenieros;; software","10.5944/rhd.vol.1.2017.16686","philosophy;; humanities"
"Universidad de Las Palmas de Gran Canaria;; Universidad de Las Palmas de Gran Canaria;; Universidad de Las Palmas de Gran Canaria;; Universidad de Las Palmas de Gran Canaria;; Universidad de Las Palmas de Gran Canaria;; Universidad de Las Palmas de Gran Canaria","algunas;; ocasiones;; hablante;; que;; interviene;; activamente;; y;; forma;; escrita;; debate;; politico;; social;; tiene;; lugar;; red;; provoca;; acto;; comunicativo;; fallido;; al;; dar;; prioridad;; su;; deseo;; expresarse;; sin;; prestar;; atencion;; parametros;; linguisticos;; discursivos;; dotan;; eficacia;; estos;; intercambios;; trabajo;; presentamos;; pretende;; contribuir;; mejora;; estrategias;; comunicacion;; actores;; sociales;; para;; ello;; desarrollaremos;; analisis;; teorico;; aplicado;; linguisticas;; comunicativas;; definitorias;; argumentacion;; haga;; posible;; diseno;; desarrollo;; herramienta;; informatica;; opiniontext;; tip;; con;; usuario;; pueda;; llevar;; cabo;; propia;; produccion;; argumentativa;; basandose;; objetivables;; mensurables;; modo;; aumenten;; posibilidades;; texto;; logre;; adhesion;; sus;; lectores","10.5944/rhd.vol.1.2017.16649","philosophy;; humanities"
"Instituto de Ciencias del Patrimonio (Consejo Superior de Investigaciones Científicas);; Instituto de Ciencias del Patrimonio (Consejo Superior de Investigaciones Científicas)","humanities;; generally;; produce;; knowledge;; textual;; formats;; g;; narrative;; conclusions;; reports;; properly;; management;; corpus;; needs;; methods;; conceptualizing;; extracting;; information;; sources;; discourse;; techniques;; allow;; terms;; connection;; structure;; elements;; reality;; referred;; text;; inferential;; dimension;; semantic;; following;; extraction;; texts;; order;; formalize;; application;; modelling;; language;; defined;; initially;; validated;; specialists;; showing;; aspects;; extracted","10.5944/rhd.vol.1.2017.16133","semantic information;; natural language processing;; narrative;; linguistics;; information modelling;; information extraction;; humanities;; discourse structure;; discourse analysis;; digital humanities;; design validation;; computer science;; artificial intelligence"
"ETSI;; ETSI","humanidades;; digitales;; pretenden;; facilitar;; acceso;; y;; entendimiento;; documentos;; historicos;; mediante;; aplicaciones;; informaticas;; este;; proceso;; es;; importante;; etapa;; representacion;; formal;; digital;; contenidos;; para;; posterior;; mismos;; por;; ejemplo;; visualizacion;; busqueda;; organizacion;; automatica;; sentido;; trabajo;; presenta;; diferentes;; aproximaciones;; abordadas;; ambito;; proyecto;; dimh;; https;; hypotheses;; org;; detalla;; desarrollo;; ontologia;; corpus;; reforzar;; comprension;; estructura;; ontologica;; mostrar;; potencia;; modelos;; ontologicos;; presentan;; serie;; ejemplos;; practicos;; consultas","10.5944/rhd.vol.1.2017.17155","philosophy;; humanities"
"University of Seville;; University of Seville","presente;; trabajo;; explicamos;; diseno;; ontologia;; early;; modern;; news;; fruto;; interdisciplinar;; entre;; areas;; historia;; periodismo;; y;; ingenieria;; conocimiento;; dicha;; conceptualiza;; manera;; formalizada;; dominio;; relativo;; al;; edad;; moderna;; trata;; herramienta;; tecnologica;; basica;; para;; posterior;; creacion;; portal;; semantico;; que;; promovera;; interesantes;; avances;; estudio;; primera;; prensa;; con;; ello;; humanista;; solo;; podra;; acceder;; informacion;; visible;; ediciones;; digitalizadas;; documentos;; sino;; tambien;; tecnicas;; razonamiento;; aplicadas;; revelaran","10.5944/rhd.vol.1.2017.16633","humanities;; art"
"Spanish National Research Council;; Spanish National Research Council","specialists;; humanities;; social;; sciences;; construct;; models;; realities;; work;; usually;; expressed;; natural;; language;; thesauri;; similarly;; informal;; means;; conceptual;; modelling;; more;; formalised;; approach;; fields;; time;; hypothesised;; usage;; cultural;; heritage;; field;; allow;; create;; better;; powerful;; aim;; 2011;; launched;; education;; program;; five;; years;; numerous;; experiences;; previous;; exposure;; systematically;; learn;; necessary;; techniques;; show;; themselves;; able;; develop;; rich;; experience;; shows;; satisfaction;; high","10.5944/rhd.vol.1.2017.16128","natural language;; knowledge management;; information modelling;; engineering;; digital humanities;; cultural heritage"
"University of WÃ¼rzburg","este;; articulo;; analizo;; panorama;; que;; investigador;; interesado;; trabajar;; con;; textos;; digitales;; edad;; plata;; encuentra;; al;; comenzar;; su;; trabajo;; he;; realizado;; busquedas;; sistematicas;; autores;; siete;; fuentes;; generalistas;; y;; documentos;; project;; gutenberg;; biblioteca;; digital;; hispanica;; bne;; virtual;; cervantes;; internet;; archive;; google;; books;; wikisource;; epublibre;; nomina;; contiene;; aquellos;; publicaron;; obras;; prosa;; entre;; 1880;; 1939;; total;; 135;; van;; segun;; fecha;; nacimiento;; desde;; valera;; hasta;; francisco;; ayala;; principales;; objetivos;; son;; 1;; valorar;; diferentes;; criterios;; proyectos;; digitalizacion;; publicacion;; electronica;; 2;; tener;; imagen;; mas;; ajustada;; estado;; esta;; epoca;; 3;; observar;; ha;; seguido;; estos;; finalmente;; trato;; concretar;; oportunidades;; problemas;; debemos;; cuenta;; para;; diseno;; desarrollo;; futuro;; nuestro","10.5944/rhd.vol.1.2017.17089","humanities;; art"
